market,instrument
fx_major,eurusd
fx_major,gbpusd
fx_major,usdcad
fx_major,usdchf
fx_major,usdjpy
fx_minor,audcad
fx_minor,audchf
fx_minor,audjpy
fx_minor,audnzd
fx_minor,audusd
fx_minor,cadchf
fx_minor,cadjpy
fx_minor,chfjpy
fx_minor,euraud
fx_minor,eurcad
fx_minor,eurchf
fx_minor,eurgbp
fx_minor,eurjpy
fx_minor,eurnzd
fx_minor,gbpaud
fx_minor,gbpcad
fx_minor,gbpchf
fx_minor,gbpjpy
crypto,adausd
crypto,aveusd
crypto,batusd
crypto,bchusd
crypto,btcusd
crypto,cmpusd
crypto,dshusd
crypto,enjusd
crypto,eosusd
crypto,ethusd
crypto,lnkusd
crypto,ltcusd
crypto,matusd
crypto,mkrusd
crypto,trxusd
crypto,uniusd
crypto,xlmusd
crypto,yfiusd
us_stock,msftususd
us_stock,amznususd
us_stock,googususd
us_stock,googlususd
us_stock,fbususd
us_stock,nflxususd
us_stock,tslaususd
us_stock,nvdaususd
us_stock,jpmususd
us_stock,unhususd
us_stock,vususd
us_stock,maususd
us_stock,pgususd
us_stock,hdususd
us_stock,pfeususd
us_stock,bacususd
us_stock,cvxususd
us_stock,koususd
us_stock,pepususd
us_stock,nkeususd
us_stock,jnjususd
us_stock,intcususd
us_stock,cscoususd
us_stock,orclususd
us_stock,tmoususd
us_stock,lmtususd
us_stock,bmyususd
us_stock,nocususd
us_stock,mmmususd
us_stock,rtxususd
us_stock,geususd
us_stock,fususd
us_stock,gmususd
us_stock,slbususd
us_stock,adbeususd
us_stock,acnususd
us_stock,adpususd
us_stock,amdususd
us_stock,amatususd
us_stock,amgnususd
us_stock,antmususd
us_stock,apdususd
us_stock,atviususd
us_stock,avgoususd
us_stock,blkususd
us_stock,cvsususd
us_stock,excususd
us_stock,ftntususd
us_stock,gdususd
us_stock,gildususd
us_stock,honususd
us_stock,ibmususd
us_stock,iceususd
us_stock,intuususd
us_stock,isrgususd
us_stock,itwususd
us_stock,mcdususd
us_stock,mdlzususd
us_stock,metususd
us_stock,neeususd
us_stock,oxyususd
us_stock,pmususd
us_stock,qcomususd
us_stock,soususd
us_stock,spgususd
us_stock,tgtususd
us_stock,txnususd
us_stock,vloususd
us_stock,ztsususd
us_stock,axpususd
us_stock,luvususd
us_stock,upsususd
us_stock,csxususd
